|artist|date|genre|style_name|title
5063|Claude Monet|1881|landscape|Impressionism|Cliff at Grainval near Fecamp
5064|Pablo Picasso|1900|genre painting|Impressionism|Stuffed shirts
5065|Claude Monet|1882|landscape|Impressionism|Alley near Pourville
5066|Claude Monet|1874|landscape|Impressionism|The Railway Bridge at Argenteuil
5067|Frans Hals|1645|portrait|Baroque|Portrait of a Man holding Gloves
5068|William Blake|1810|symbolic painting|Symbolism|The Great Red Dragon and the Woman clothed with the sun
5069|Claude Monet|1872|landscape|Impressionism|The Promenade at Argenteuil
5070|Robert Julian Onderdonk|1909.0|portrait|Impressionism|Goat Herder at the San Antonio Quarry
5071|Paul Cezanne|1870|religious painting|Romanticism|The Temptation of St. Anthony
5072|Marc Chagall|1911|genre painting|Expressionism|Interior II
5073|Claude Monet|1876|genre painting|Impressionism|In the Meadow
5074|Ernst Ludwig Kirchner|1914|genre painting|Expressionism|Circus Rider
5075|Raphael Kirchner|1916.0|illustration|Art Nouveau (Modern)|New York Tribune
5076|Ferdinand Hodler|1878|landscape|Realism|The mill of Sous Terre in Geneva
5077|Claude Monet|1882|landscape|Impressionism|The Church at Varengeville 02
5078|Ivan Aivazovsky|1869|landscape|Romanticism|View of Tiflis
5079|Oskar Kokoschka|1925|cityscape|Expressionism|Amsterdam
5080|Oskar Kokoschka|1948|cityscape|Expressionism|Venice Dogana
5081|David Kakabadze|1918|landscape|Expressionism|Imereti. Red road
5082|Anders Zorn|1909|portrait|Art Nouveau (Modern)|Gustav V
5083|Konstantin Korovin|1893|genre painting|Impressionism|By the window
5084|Vasily Perov|1880|sketch and study|Realism|Modern Idyll 
5085|Claude Monet|1865|landscape|Impressionism|The Pave de Chailly
5086|Claude Monet|1871|portrait|Impressionism|Meditation, Madame Monet Sitting on a Sofa
5087|Henri Matisse|1940|still life|Expressionism|Pineapple and Anemones
5088|Vasily Perov|1864|genre painting|Realism|Vendor of Song Books
5089|Konstantin Yuon|1933|design|Art Nouveau (Modern)|Sketch of Gorky's play 'Egor Bulychov and others'. Green dining
5090|Jan Steen|1663|genre painting|Baroque|Pub garden
5091|Georges Braque|1909|sketch and study|Expressionism|Flower study
5092|Claude Monet|1876|portrait|Impressionism|Camille with Green Parasol
5093|Jan Steen|1660|genre painting|Baroque|Prince`s day
5094|Vasily Perov|1864|genre painting|Realism|Parisian rag-picker 
5095|Vasily Surikov|1884|cityscape|Realism|Naples. Vesuvius.
5096|Claude Monet|1874|genre painting|Impressionism|Boaters at Argenteuil
5097|Theophile Steinlen|1905.0|illustration|Art Nouveau (Modern)|Simplicissimus  
5098|Vasily Perov|1875|genre painting|Realism|Court Pugacheva 
5099|Gustave Moreau|1880|mythological painting|Symbolism|Leda
5100|Ernst Ludwig Kirchner|1915|genre painting|Expressionism|Women on the Street
5101|Claude Monet|1892|cityscape|Impressionism|Rouen Cathedral, Study of the Portal
5102|Pierre-Auguste Renoir|1869|genre painting|Impressionism|La Grenouillere
5103|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Fontanka
5104|Ferdinand Hodler|1910|mythological painting|Art Nouveau (Modern)|Ahasver
5105|John Ruskin|1880.0|sketch and study|Romanticism|Cloud Study 
5106|Lucian Freud|1954|genre painting|Expressionism|Hotel Bedroom
5107|Pierre-Auguste Renoir|1889|genre painting|Impressionism|Girl with a basket of fish
5108|Edward Burne-Jones|1894|genre painting|Romanticism|Love Among the Ruins
5109|William-Adolphe Bouguereau|1895|portrait|Realism|Madame la Comtesse de Cambaceres
5110|Dorothy Lathrop|1920.0|illustration|Art Nouveau (Modern)|A Little Boy Lost 
5111|Rembrandt|1666|genre painting|Baroque|The Jewish Bride
5112|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|School House of Peter I
5113|Aleksey Savrasov|1869|landscape|Realism|Elk Island in Sokolniki
5114|Claude Monet|1885|cityscape|Impressionism|Houses at Falaise in the Fog
5115|Mikhail Vrubel|1904|symbolic painting|Symbolism|Pearl oister 
5116|Gustav Klimt|1897|portrait|Symbolism|Portrait of a Lady
5117|Claude Monet|1889|landscape|Impressionism|The Grande Creuse by the Bridge at Vervy
5118|Vasily Perov|1864|genre painting|Realism|Organ Grinder in Paris
5119|Nicholas Roerich|1932|religious painting|Symbolism|Madonna Oriflamma
5120|Thomas Eakins|1874|genre painting|Realism|Pushing for Rail
5121|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Lithuanian castle
5122|Giovanni Boldini|1884|genre painting|Impressionism|The Mondona Singer
5123|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|St. Isaac's Cathedral in a foggy day
5124|Gustav Klimt|1909|genre painting|Art Nouveau (Modern)|Cartoon for the Frieze of the Villa Stoclet in Brussels: Fulfillment
5125|Edgar Degas|1877|genre painting|Impressionism|Dancer with a Bouquet Bowing
5126|Ivan Bilibin|1913.0|design|Art Nouveau (Modern)|Chernomor's Gardens. Sketches of scenery for Mikhail Glinka's Ruslan and Ludmilla 
5127|Henri Matisse|1943|still life|Expressionism|Tulips and oysters on a black background
5128|Claude Monet|1893|landscape|Impressionism|Snow Effect, Giverny
5129|Dorothy Lathrop|1920.0|illustration|Art Nouveau (Modern)|A Little Boy Lost 
5130|Nicholas Roerich|1924|cityscape|Symbolism|And we are opening the gates
5131|Claude Monet|1893|landscape|Impressionism|Ice, Lock Port Villez
5132|Vasily Perov|1879|sketch and study|Realism|By train 
5133|Andre Derain|1913|landscape|Post-Impressionism|Landscape at Cadaques
5134|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Academy of Arts
5135|Ivan Aivazovsky|1899|cityscape|Romanticism|Constantinople Sunset
5136|Gustave Courbet|1854|landscape|Realism|The Flood Gate at Optevoz
5137|Odilon Redon|1881|symbolic painting|Symbolism|The Crying Spider
5138|Nicholas Roerich|1916|religious painting|Symbolism|Saint Pantaleon the Healer
5139|Vasily Perov|1872|sketch and study|Realism|Holy fool, surrounded by pilgrims 
5140|Pierre-Auguste Renoir|1883|portrait|Impressionism|By the Seashore
5141|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Exchange
5142|Pierre-Auguste Renoir|1889|genre painting|Impressionism|Girl with a basket of oranges
5143|Mary Cassatt|1880|portrait|Impressionism|Portrait of Mlle C. Lydia Cassatt
5144|Claude Monet|1888|landscape|Impressionism|The Gulf Juan at Antibes
5145|Ivan Kramskoy|1871|portrait|Realism|Fyodor Vasilyev
5146|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Fontanka near the Summer Garden
5147|Dorothy Lathrop|1920.0|illustration|Art Nouveau (Modern)|A Little Boy Lost 
5148|Andre Derain|1913|portrait|Expressionism|The Two Sisters
5149|Claude Monet|1888|landscape|Impressionism|Mediteranian Coast, Grey Day
5150|Claude Monet|1895|landscape|Impressionism|Mount Kolsaas
5151|Nicolaes Maes|1655.0|genre painting|Baroque|The Listening Housewife 
5152|Georges Braque|1953|still life|Expressionism|Leaves in color of light
5153|Edvard Munch|1883.0|genre painting|Impressionism|At the Coffee Table
5154|August Macke|1910|nude painting (nu)|Expressionism|Female nude with corall necklace
5155|Anna Ostroumova-Lebedeva|1923.0|cityscape|Art Nouveau (Modern)|"Trees near the ""Apollo Colonnade"""
5156|Ernst Ludwig Kirchner|1932|nude painting (nu)|Expressionism|Bathing Women and Children
5157|Pierre-Auguste Renoir|1864|portrait|Impressionism|Romaine Lascaux
5158|Ivan Shishkin|1890.0|landscape|Realism|Winte
5159|Claude Monet|1883|landscape|Impressionism|Receding Waves 
5160|Theodor Severin Kittelsen|1891.0|sketch and study|Realism|Skomvær landscape
5161|Valentin Serov|1889.0|portrait|Realism|Portrait of the Composer Alexander Serov
5162|Pierre-Auguste Renoir|1874|portrait|Impressionism|The box
5163|James Tissot|1878|genre painting|Realism|Croquet
5164|Lucian Freud|1952|portrait|Expressionism|Girl Reading
5165|Salvador Dali|1982|religious painting|Symbolism|Pieta
5166|Edvard Munch|1902.0|genre painting|Expressionism|The Fisherman
5167|Pierre Bonnard|1932|landscape|Post-Impressionism|Not detected
5168|Odilon Redon|1878|symbolic painting|Symbolism|Photograph of Guardian Spirit of the Waters
5169|Claude Monet|1890|landscape|Impressionism|Meadow in Giverny
5170|Mstislav Dobuzhinsky|1923|cityscape|Symbolism|The district court
5171|Claude Monet|1903|cityscape|Impressionism|Waterloo Bridge, Sunlight Effect
5172|Franz Stuck|1889|portrait|Symbolism|Innocence
5173|Henri Matisse|1890|still life|Realism|Still Life with Books and Candle 
5174|Claude Monet|1868|landscape|Impressionism|Ice Floes on the Seine at Bougival
5175|Nicholas Roerich|1930|design|Art Nouveau (Modern)|Old man
5176|Joseph Wright|1771|genre painting|Baroque|A Blacksmith's Shop
5177|Pierre-Auguste Renoir|1892|genre painting|Impressionism|Girls at the Piano
5178|Claude Monet|1896|landscape|Impressionism|Cliff at Petit Ailly
5179|Vasily Surikov|1876|cityscape|Realism|Belfry Ivan the Great
5180|Edouard Manet|1874|portrait|Impressionism|Head of a Man (Claude Monet)
5181|Ernst Ludwig Kirchner|1912|genre painting|Expressionism|Woman before the Mirror
5182|Alphonse Mucha|1914|genre painting|Romanticism|The Printing of the Bible of Kralice in Ivancice
5183|Thomas Eakins|1896|portrait|Realism|Portrait of Lucy Lewis
5184|Claude Monet|1865|portrait|Impressionism|Victor Jacquemont Holding a Parasol
5185|Orest Kiprensky|1815|portrait|Romanticism|Portrait of Konstantin Batyushkov
5186|Claude Monet|1882|portrait|Impressionism|Portrait of Eugenie Graff (Madame Paul) 
5187|Claude Monet|1897|landscape|Impressionism|Morning on the Seine
5188|Vasily Perov|1872|portrait|Realism|Portrait of the historian Mikhail Petrovich Pogodin 
5189|Edvard Munch|1910.0|genre painting|Expressionism|The Murderer
5190|Claude Monet|1873|cityscape|Impressionism|The Seine at Asnieres
5191|James McNeill Whistler|1889|genre painting|Impressionism|Pierrot
5192|David Burliuk|1921|landscape|Post-Impressionism|Landscape
5193|Paul Cezanne|1894|genre painting|Post-Impressionism|Bathers 
5194|Gerrit Dou|1665|genre painting|Baroque|The cook
5195|Edvard Munch|1913.0|genre painting|Expressionism|The Lumberjack
5196|Henry Ossawa Tanner|1898|religious painting|Realism|The Annunciation
5197|Balthus|1938|nude painting (nu)|Expressionism|The Victim
5198|Adriaen van Ostade|1658|genre painting|Baroque|The Drinkers
5199|Ivan Aivazovsky|1868|cityscape|Romanticism|View of Tiflis
5200|Claude Monet|1871|landscape|Impressionism|Windmills at Haaldersbroek, Zaandam
5201|Balthus|1942|genre painting|Expressionism|Still Life with a Figure
5202|Ernst Ludwig Kirchner|1927|genre painting|Expressionism|Group of artists
5203|Claude Monet|1872|cityscape|Impressionism|Seine at Rouen
5204|Koloman Moser|1905|design|Art Nouveau (Modern)|Am Steinhof Church, Design for the rise window
5205|Ernst Ludwig Kirchner|1913|genre painting|Expressionism|English Dance Couple
5206|Henri de Toulouse-Lautrec|1894|sketch and study|Post-Impressionism|Yvette Guibert singing
5207|Claude Monet|1885|landscape|Impressionism|The Manneport, Reflections of Water
5208|Claude Monet|1896|landscape|Impressionism|The Cote Sauvate
5209|Bartolome Esteban Murillo|1675|genre painting|Baroque|The Little Fruit-Seller
5210|William Turner|1835|sketch and study|Romanticism|Riders on a Beach
5211|Claude Monet|1897|landscape|Impressionism|Morning on the Seine at Giverny 02
5212|Claude Monet|1886|landscape|Impressionism|View on village of Giverny
5213|Aubrey Beardsley|1897|design|Art Nouveau (Modern)|"Frontispiece to ""The Pierrot of the Minute"""
5214|Oskar Kokoschka|1939|landscape|Expressionism|Polperro II  
5215|William-Adolphe Bouguereau|1895|portrait|Realism|In Penitence
5216|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|View from the Tuchkov Bridge
5217|Claude Monet|1869|cityscape|Impressionism|The Bridge at Bougival
5218|Odilon Redon|1893|portrait|Symbolism|The Druidess
5219|Anna Ostroumova-Lebedeva|1923.0|cityscape|Art Nouveau (Modern)|"Group of trees near the ""White Birch"""
5220|Claude Monet|1878|landscape|Impressionism|The Arm of the Seine
5221|Claude Monet|1883|landscape|Impressionism|The Towpath at Granval
5222|Claude Monet|1908|cityscape|Impressionism|The Palazzo Ducale
5223|Claude Monet|1870|genre painting|Impressionism|The Red Cape (Madame Monet) 
5224|Claude Monet|1908|cityscape|Impressionism|Palazzo Dario 4
5225|Konstantin Makovsky|1859|portrait|Romanticism|Egor Ivanovich Makovsky
5226|Ernst Ludwig Kirchner|1910|genre painting|Expressionism|Hamburg Dancers
5227|Claude Monet|1885|landscape|Impressionism|Landscape at Port-Villez
5228|Lucian Freud|1982|portrait|Expressionism|Guy Half Asleep
5229|Claude Monet|1880|landscape|Impressionism|View over Vetheuil
5230|Edouard Manet|1882|portrait|Impressionism|Autumn (Study of Mery Laurent)
5231|Odilon Redon|1882|symbolic painting|Symbolism|Cactus Man
5232|Raphael Kirchner|1916.0|portrait|Art Nouveau (Modern)|Girl Scout, New York Tribune
5233|Claude Monet|1902|landscape|Impressionism|Charing Cross Bridge 02
5234|Alphonse Mucha|1926|genre painting|Romanticism|The Coronation of the Serbian Tsar Stepan Dusan as East Roman Emperor
5235|Paul Cezanne|1880|landscape|Post-Impressionism|Mountains in Provence. L'Estaque
5236|Ivan Aivazovsky|1845|landscape|Romanticism|Bay of Naples
5237|Mary Cassatt|1910|portrait|Impressionism|Child with Bangs in a Blue Dress
5238|Claude Monet|1887|landscape|Impressionism|Path in the Fog
5239|Nicholas Roerich|1942|sketch and study|Symbolism|Study of clouds
5240|Annibale Carracci|1605|mythological painting|Baroque|The Cyclops Polyphemus
5241|Claude Monet|1864|landscape|Impressionism|Road to the Saint-Simeon Farm
5242|Claude Monet|1880|landscape|Impressionism|The Siene at Vetheuil
5243|August Macke|1914|cityscape|Expressionism|Catedral of Freiburg in the Switzerland
5244|Sir Lawrence Alma-Tadema|1878|portrait|Romanticism|In the Time of Constantine
5245|William-Adolphe Bouguereau|1902|portrait|Realism|Modesty
5246|Claude Monet|1867|cityscape|Impressionism|Wharf of Louvre, Paris
5247|Claude Monet|1867|landscape|Impressionism|The Road to the Farm of Saint-Simeon
5248|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Linden avenue and the monument to Paul I
5249|Pierre-Auguste Renoir|1887|nude painting (nu)|Impressionism|The Large Bathers
5250|Adriaen van Ostade|1659|genre painting|Baroque|The Merry Drinkers
5251|Ernst Ludwig Kirchner|1914|portrait|Expressionism|Graef and friend
5252|Claude Monet|1885|landscape|Impressionism|The Banks of the Seine at Port-Villez
5253|Claude Monet|1886|landscape|Impressionism|Rocks at Belle-Ile
5254|Boris Kustodiev|1924.0|portrait|Art Nouveau (Modern)|Portrait of Maximilian Voloshin 
5255|Paul Klee|1938|landscape|Expressionism|Park Bei Lu
5256|Giovanni Boldini|1906|portrait|Realism|Portrait of Alfred Beit
5257|Claude Monet|1881|landscape|Impressionism|The Sea Seen from the Cliffs of Fecamp
5258|Pierre-Auguste Renoir|1872|portrait|Impressionism|Claude Monet Reading
5259|Mikhail Nesterov|1932|symbolic painting|Symbolism|Riders
5260|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Fortress 'Beep'
5261|Peter Paul Rubens|1615|genre painting|Baroque|Entombment
5262|Odilon Redon|1875|religious painting|Symbolism|Angel in Chains
5263|Claude Monet|1887|landscape|Impressionism|Field of Yellow Irises at Giverny
5264|Dorothy Lathrop|1920.0|illustration|Art Nouveau (Modern)|A Little Boy Lost 
5265|Claude Monet|1901|cityscape|Impressionism|Waterloo Bridge
5266|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|Moonlit night landscape
5267|Thomas Eakins|1904|genre painting|Realism|Music
5268|Lucian Freud|2004|nude painting (nu)|Expressionism|Irish Woman on a Bed
5269|Lucian Freud|2005|nude painting (nu)|Expressionism|Naked Portrait
5270|Claude Monet|1889|landscape|Impressionism|The Old Tree at the Confluence
5271|Raoul Dufy|1935|genre painting|Post-Impressionism|The sea in Deauville
5272|Claude Monet|1882|cityscape|Impressionism|Port of Dieppe, Evening
5273|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|Landscape around the Viscontiev Bridge
5274|Konstantin Makovsky|1910|portrait|Romanticism|Cup of Honey
5275|Oskar Kokoschka|1912|nude painting (nu)|Expressionism|Double Nude: Two Women 
5276|Oskar Kokoschka|1929|portrait|Expressionism|Arab Woman and Child
5277|William Merritt Chase|1884|genre painting|Impressionism|In The Studio
5278|Gustav Klimt|1918|religious painting|Art Nouveau (Modern)|Adam and Eva (unfinished)
5279|Claude Monet|1897|landscape|Impressionism|Customs House at Varengaville
5280|Lucian Freud|1976|portrait|Expressionism|Head of a Girl
5281|Claude Monet|1867|landscape|Impressionism|The Road in front of Saint-Simeon Farm in Winter
5282|David Cox|1851.0|landscape|Romanticism|Moorland Road 
5283|Konstantin Makovsky|1890|portrait|Romanticism|Volkov's Family. Group Portrait of M.S.Volkov, S.N.Volkova and S.M.Volkov-Manzei
5284|Claude Monet|1882|landscape|Impressionism|The Sunken Road in the Cliff at Varangeville
5285|Anna Ostroumova-Lebedeva|1922.0|cityscape|Art Nouveau (Modern)|Debacle
5286|Edouard Manet|1870|portrait|Realism|Portrait of Eva Gonzales
5287|Claude Monet|1884|landscape|Impressionism|Bordighera, the House of Gardener
5288|Claude Monet|1878|landscape|Impressionism|The Isle Grande-Jatte on the Siene
5289|Claude Monet|1894|cityscape|Impressionism|Rouen Cathedral, the Portal and the Tower d`Allban on the Sun
5290|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|Night
5291|Aubrey Beardsley|1898|design|Art Nouveau (Modern)|Initial Letter 'V' to Volpone
5292|Orest Kiprensky|1820|portrait|Romanticism|Equestrian portrait of Alexander I
5293|Sir Lawrence Alma-Tadema|1869|genre painting|Romanticism|An Exedra
5294|Claude Monet|1865|landscape|Impressionism|Cart on the Snow Covered Road with Saint-Simeon Farm
5295|Pierre-Auguste Renoir|1908|portrait|Impressionism|Ambroise Vollard
5296|Henri Matisse|1934|portrait|Expressionism|Blue Eyes
5297|John Constable|1833|landscape|Romanticism|Foord Rd Mill, Folkestone
5298|Bartolome Esteban Murillo|1650|genre painting|Baroque|Boy with a Dog
5299|Pablo Picasso|1899|portrait|Expressionism|La chata
5300|Claude Monet|1882|cityscape|Impressionism|Dieppe
5301|Ernst Ludwig Kirchner|1935|still life|Expressionism|Still Life with Sculpture in front of a Window
5302|Francisco Goya|1811|portrait|Romanticism|Actress Antonia Zarate
5303|Paul Cezanne|1867|landscape|Romanticism|Landscape with fountain
5304|Dorothy Lathrop|1920.0|illustration|Art Nouveau (Modern)|A Little Boy Lost 
5305|Claude Monet|1874|cityscape|Impressionism|Zaandam, The Dike
5306|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|"Landscape near the ""Pil-tower"""
5307|Claude Monet|1881|landscape|Impressionism|The Garden Gate at Vetheuil
5308|Edvard Munch|1892.0|landscape|Symbolism|Moonlight on the Shore
5309|Claude Monet|1902|cityscape|Impressionism|Charing Cross Bridge
5310|Ernst Ludwig Kirchner|1910|cityscape|Expressionism|Villa in Dresden
5311|John Singer Sargent|1925|portrait|Realism|Portrait of Lady Michaelis
5312|Paul Cezanne|1902|portrait|Post-Impressionism|Woman in Blue. Madame Cezanne
5313|Henri Matisse|1942|genre painting|Expressionism|Dancer and Rocaille Armchair on a Black Background 
5314|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|Perspective of the Constantine Palace
5315|Claude Monet|1894|cityscape|Impressionism|Rouen Cathedral, Sunlight Effect
5316|Edouard Manet|1882|portrait|Impressionism|Spring (Study of Jeanne Demarsy)
5317|William Merritt Chase|1890|portrait|Impressionism|Portrait Of A Lady
5318|Ivan Aivazovsky|1850|landscape|Romanticism|Crimean Tartars on the Sea Shore
5319|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|Rainbow
5320|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|"Road to the ""White Birch"""
5321|Theodore Rousseau|1849|landscape|Realism|The Little Fisherman
5322|Mstislav Dobuzhinsky|1923|cityscape|Symbolism|Monument to Peter the Great
5323|Thomas Eakins|1884|sketch and study|Realism|In the Studio (unfinished)
5324|Alphonse Mucha|1912|genre painting|Art Nouveau (Modern)|8th Sokol Festival
5325|Claude Monet|1874|cityscape|Impressionism|Boulevard of Capucines
5326|Claude Monet|1889|landscape|Impressionism|Valley of the Creuse (Grey Day) 
5327|Pierre-Auguste Renoir|1876|genre painting|Impressionism|The Swing (La Balançoire)
5328|William Merritt Chase|1905|portrait|Impressionism|Portrait of Miss Frances
5329|Valentin Serov|1909.0|portrait|Impressionism|Portrait of Helena Ivanovna Roerich 
5330|Nicolaes Maes|1655.0|genre painting|Baroque|Sleeping Man Having His Pockets Picked 
5331|Claude Monet|1894|cityscape|Impressionism|Rouen Cathedral, The Portal and the Tour d'Albane at Dawn
5332|Carl Larsson|1902|genre painting|Art Nouveau (Modern)|Under the Birches
5333|Edvard Munch|1892.0|portrait|Expressionism|The Painter Jacob Bratland
5334|Gustave Caillebotte|1887|landscape|Impressionism|The Bridge at Argenteuil
5335|David Cox|1832.0|cityscape|Romanticism|Calais. Hôtel de Guise 
5336|Vasily Perov|1864|sketch and study|Realism|Merrymaking-in-Paris
5337|William Turner|1845|landscape|Romanticism|Norham Castle, Sunrise
5338|Vasily Vereshchagin|1898|landscape|Realism|Kazbek
5339|Felix Vallotton |1900|landscape|Symbolism|The Lake Leman, effect of the evening
5340|Edvard Munch|1921.0|genre painting|Expressionism|The Artist and His Model
5341|Paul Cezanne|1888|landscape|Post-Impressionism|The Banks of the Marne 
5342|Boris Kustodiev|1919.0|genre painting|Art Nouveau (Modern)|Province
5343|Vasily Surikov|1890|cityscape|Realism|House of Surikov family in Krasnoyarsk
5344|Boris Kustodiev|1915.0|genre painting|Art Nouveau (Modern)|The Consecration of Water on the Theophany
5345|Francisco Goya|1816|portrait|Romanticism|Portrait of Don Francisco de Borja Tellez Giron
5346|Vasily Perov|1865|genre painting|Realism|Solitary Guitarist
5347|Gustave Caillebotte|1880|portrait|Impressionism|At the Cafe, Rouen
5348|Diego Velazquez|1638|portrait|Baroque|Count duke of Olivares
5349|Ivan Shishkin|1889.0|landscape|Realism|Morning in a Pine Forest 
5350|Dorothy Lathrop|1920.0|illustration|Art Nouveau (Modern)|A Little Boy Lost 
5351|Ivan Aivazovsky|1876|landscape|Romanticism|Loading Provisions off the Crimean Coast
5352|Carl Larsson|1900|portrait|Art Nouveau (Modern)|Esbjorn 
5353|Odilon Redon|1875|portrait|Symbolism|The laureate head
5354|Gustav Klimt|1909|symbolic painting|Art Nouveau (Modern)|Cartoon for the frieze of the Villa Stoclet in Brussels: right part of the tree of life
5355|Mstislav Dobuzhinsky|1923|cityscape|Symbolism|The English Embankment at snow
5356|Paul Klee|1914|abstract|Expressionism|In the Style of Kairouan
5357|Guido Reni|1623|mythological painting|Baroque|Drinking Bacchus
5358|Pierre Bonnard|1905|genre painting|Post-Impressionism|The Yacht
5359|Frans Hals|1640|portrait|Baroque|Daniel van Aken Playing the Violin 
5360|Edgar Degas|1868|portrait|Impressionism|Gustave Moreau
5361|Vasily Perov|1880|genre painting|Realism|Return of the peasants from a funeral in the winter 
5362|William H. Johnson|1939|still life|Expressionism|Still Life--Fruit, Bottles
5363|Paul Cezanne|1895|landscape|Post-Impressionism|Large Pine and Red Earth
5364|William Turner|1845|sketch and study|Romanticism|Waves Breaking on a Beach
5365|Lucian Freud|2003|portrait|Expressionism|Frances Costelloe
5366|Odilon Redon|1895|portrait|Symbolism|Woman with veil
5367|Paul Cezanne|1870|portrait|Romanticism|Paul Alexis  Reading a Manuscript to Emile Zola  
5368|Paul Cezanne|1890|portrait|Post-Impressionism|The Smoker
5369|Vasily Perov|1879|genre painting|Realism|Wandering in a field 
5370|Anna Ostroumova-Lebedeva|1923.0|cityscape|Art Nouveau (Modern)|Willows near Novosilviysky Bridge
5371|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|The valley Of the river Slavyanka
5372|Anna Ostroumova-Lebedeva|1923.0|landscape|Art Nouveau (Modern)|Evening
5373|Salvador Dali|1925|mythological painting|Expressionism|Venus and Sailor (Homage to Salvat-Papasseit)
5374|Anna Ostroumova-Lebedeva|1923.0|cityscape|Art Nouveau (Modern)|"The gate and the road to ""Etyup"""
5375|Pablo Picasso|1903|genre painting|Symbolism|Ascet
5376|Ernst Ludwig Kirchner|1914|genre painting|Expressionism|Five Women on the Street
5377|Vasily Surikov|1872|religious painting|Realism|Holy Face
5378|Nicholas Roerich|1930|landscape|Symbolism|Study of mountains
5379|Andre Derain|1913|landscape|Post-Impressionism|Trees on the Banks of the Seine
5380|Ferdinand Hodler|1904|landscape|Post-Impressionism|Lake Geneva in Chexbres
5381|Francisco de Zurbaran|1650|religious painting|Baroque|St. Bonaventure
5382|David Cox|1850.0|genre painting|Romanticism|A Welsh Funeral, Betwys-y-Coed 
5383|Theo van Doesburg|1917|design|Art Nouveau (Modern)|Leaded glass composition I
5384|Vasily Perov|1875|genre painting|Realism|Pugachev`s Judgement
5385|Gustav Klimt|1910|nude painting (nu)|Art Nouveau (Modern)|Reclining Nude Lying on Her Stomach and Facing Right
5386|Lyonel Feininger|1951.0|landscape|Expressionism|Mystic River 
5387|William Merritt Chase|1888|genre painting|Impressionism|The Lake for Miniature Yachts
5388|Lynd Ward|1953.0|landscape|Expressionism|Corral: Tres Cumbres
5389|Lynd Ward|1948.0|genre painting|Expressionism|Clouded Over
5390|Alfred Sisley|1887|landscape|Impressionism|September Morning
5391|Eugene Delacroix|1827|nude painting (nu)|Romanticism|Reclining Odalisque or, Woman with a Parakeet
5392|Rembrandt|1632|genre painting|Baroque|Philosopher in Meditation
5393|Camille Pissarro|1890|portrait|Impressionism|Three Peasant Women
5394|Edgar Degas|1899|genre painting|Impressionism|Russian Dancers
5395|Paul Gauguin|1903|genre painting|Post-Impressionism|Women and white horse
5396|Edouard Manet|1880|portrait|Impressionism|The stroll
5397|Amedeo Modigliani|1919|portrait|Expressionism|Jeanne Hebuterne
5398|Edgar Degas|1886|nude painting (nu)|Impressionism|Woman Drying Herself
5399|William Blake|1795|illustration|Symbolism|Illustration to Dante's Divine Comedy
5400|William H. Johnson|1938|landscape|Expressionism|Mountains and Sea, Hardanger Fjord, Norway
5401|Nicholas Roerich|1920|genre painting|Art Nouveau (Modern)|Song of the morning
5402|Thomas Eakins|1888|sketch and study|Realism|Sketch for Cowboys in the Badlands 
5403|Paul Cezanne|1900|landscape|Post-Impressionism|The Brook
5404|Rene Magritte|1948|nude painting (nu)|Post-Impressionism|Pebble
5405|Theo van Doesburg|1906|portrait|Post-Impressionism|Portrait of Christian Leibbrandt
5406|Edvard Munch|1916.0|landscape|Expressionism|The Sun
5407|Lucian Freud|1977|portrait|Expressionism|The Painter's Mother Resting III
5408|Pierre-Auguste Renoir|1881|genre painting|Impressionism|The Luncheon of the Boating Party
5409|Caravaggio|1596|portrait|Baroque|The Lute Player
5410|Aubrey Beardsley|1895|design|Art Nouveau (Modern)|A large Christmas Card
5411|Ivan Kramskoy|1882|portrait|Realism|Kramskoi Ivan Mina Moiseev Sun
5412|Mikhail Nesterov|1889|portrait|Symbolism|The Hermit 
5413|Pablo Picasso|1905|genre painting|Expressionism|Family of acrobats (study)
5414|Thomas Eakins|1876|portrait|Realism|Archbishop James Frederick Wood
